country,squad_data_status,squad_status_available,star_player_layer_available,source,notes
Mexico,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
South Africa,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
South Korea,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Czechia,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Canada,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Bosnia and Herzegovina,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Qatar,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Switzerland,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Brazil,Not populated yet,No public squad rows in current file,Yes,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Morocco,Not populated yet,No public squad rows in current file,Yes,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Haiti,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Scotland,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
USA,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
