country,player_name,club,position_group,squad_status,include_in_worldcup_app,manager,source_name,source_url,source_date,created_at,notes
Brazil,Alisson,Liverpool,Goalkeeper,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Ederson,Fenerbahce,Goalkeeper,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Weverton,Gremio,Goalkeeper,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Marquinhos,PSG,Defender,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Gabriel,Arsenal,Defender,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Bremer,Juventus,Defender,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Ibanez,Al Ahli,Defender,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Leo Pereira,Flamengo,Defender,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Wesley,Roma,Defender,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Danilo,Flamengo,Defender,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Alex Sandro,Flamengo,Defender,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Douglas Santos,Zenit,Defender,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Casemiro,Manchester United,Midfielder,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Bruno Guimaraes,Newcastle,Midfielder,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Fabinho,Al Ittihad,Midfielder,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Danilo,Botafogo,Midfielder,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Lucas Paqueta,Flamengo,Midfielder,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Vinicius Jr,Real Madrid,Forward,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Raphinha,Barcelona,Forward,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Matheus Cunha,Manchester United,Forward,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
Brazil,Luiz Henrique,Zenit,Forward,Announced squad,TRUE,Carlo Ancelotti,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-22,2026-05-23,Use TRUE rows as World Cup-linked. Preliminary rows are squad-pool only until final squad is confirmed.
